race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.010624841892233746,0.8795851252213509,0.12041487477864912,0.013452914798206279,0.010265183917878529
Asian,142.0,0.0,0.8943661971830986,0.1056338028169014,0.0,0.0
Caucasian,15141.0,0.0024436959249719307,0.8868634832573806,0.11313651674261938,0.005312868949232586,0.002082248828735034
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489052,0.0,0.0
Other,298.0,0.003355704697986577,0.8859060402684564,0.11409395973154363,0.0,0.0037735849056603774
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232274,0.0,0.0
