col_a,col_b,metric,score
max_glu_serum,A1Cresult,ContingencySimilarity,0.9561999999999999
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9566
A1Cresult,had_emergency,ContingencySimilarity,0.9566
A1Cresult,medicaid,ContingencySimilarity,0.9566
discharge_disposition_id,A1Cresult,ContingencySimilarity,0.9566
discharge_disposition_id,num_procedures,ContingencySimilarity,0.9574
medicaid,had_outpatient_days,ContingencySimilarity,0.9578
medicare,had_outpatient_days,ContingencySimilarity,0.9578
change,had_outpatient_days,ContingencySimilarity,0.9578
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.9578
discharge_disposition_id,had_outpatient_days,ContingencySimilarity,0.9578
admission_source_id,max_glu_serum,ContingencySimilarity,0.9598
num_procedures,had_inpatient_days,ContingencySimilarity,0.9601999999999999
num_procedures,medicare,ContingencySimilarity,0.9618
admission_source_id,had_emergency,ContingencySimilarity,0.9624
admission_source_id,diabetesMed,ContingencySimilarity,0.9626
age,max_glu_serum,ContingencySimilarity,0.9626
num_procedures,diabetesMed,ContingencySimilarity,0.9632000000000001
admission_source_id,medicaid,ContingencySimilarity,0.9643999999999999
num_procedures,medicaid,ContingencySimilarity,0.9644
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.9652000000000001
age,had_inpatient_days,ContingencySimilarity,0.9652000000000001
num_procedures,change,ContingencySimilarity,0.9656
admission_source_id,change,ContingencySimilarity,0.9656
age,had_emergency,ContingencySimilarity,0.9668
age,medicaid,ContingencySimilarity,0.9674
age,diabetesMed,ContingencySimilarity,0.969
age,change,ContingencySimilarity,0.9698
max_glu_serum,had_emergency,ContingencySimilarity,0.9738
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.9746
diabetesMed,had_emergency,ContingencySimilarity,0.9748
max_glu_serum,medicare,ContingencySimilarity,0.9752
medicare,medicaid,ContingencySimilarity,0.9763999999999999
medicare,had_emergency,ContingencySimilarity,0.9763999999999999
medicare,had_inpatient_days,ContingencySimilarity,0.9764
diabetesMed,medicare,ContingencySimilarity,0.9764
change,medicare,ContingencySimilarity,0.9764
medicaid,had_emergency,ContingencySimilarity,0.9782
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.9798
max_glu_serum,diabetesMed,ContingencySimilarity,0.98
discharge_disposition_id,had_emergency,ContingencySimilarity,0.9802
change,had_emergency,ContingencySimilarity,0.9818
had_emergency,had_inpatient_days,ContingencySimilarity,0.9818
diabetesMed,had_inpatient_days,ContingencySimilarity,0.983
discharge_disposition_id,change,ContingencySimilarity,0.984
change,diabetesMed,ContingencySimilarity,0.9872
diabetesMed,medicaid,ContingencySimilarity,0.9872
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.9884000000000001
max_glu_serum,change,ContingencySimilarity,0.989
max_glu_serum,medicaid,ContingencySimilarity,0.9895999999999999
change,had_inpatient_days,ContingencySimilarity,0.9916
discharge_disposition_id,medicaid,ContingencySimilarity,0.993
change,medicaid,ContingencySimilarity,0.9942
medicaid,had_inpatient_days,ContingencySimilarity,0.997
