Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Real Association,Meets Threshold?
num_lab_procedures,num_procedures,ContingencySimilarity,,,,0.06525455815324689,False
num_lab_procedures,num_medications,CorrelationSimilarity,,0.25723305017156073,,,False
num_lab_procedures,primary_diagnosis,ContingencySimilarity,,,,0.07389737152581106,False
num_lab_procedures,number_diagnoses,CorrelationSimilarity,,0.16001221088095946,,,False
num_lab_procedures,max_glu_serum,ContingencySimilarity,,,,0.21597306539353697,False
num_lab_procedures,A1Cresult,ContingencySimilarity,,,,0.156286591305228,False
num_lab_procedures,insulin,ContingencySimilarity,,,,0.07794616537862317,False
num_lab_procedures,change,ContingencySimilarity,,,,0.08689036323522806,False
num_lab_procedures,diabetesMed,ContingencySimilarity,,,,0.06235407993682908,False
num_lab_procedures,medicare,ContingencySimilarity,,,,0.05212933654792167,False
num_lab_procedures,medicaid,ContingencySimilarity,,,,0.02369690704540734,False
num_lab_procedures,had_emergency,ContingencySimilarity,,,,0.04414939772281189,False
num_lab_procedures,had_inpatient_days,ContingencySimilarity,,,,0.058354845019390575,False
num_lab_procedures,had_outpatient_days,ContingencySimilarity,,,,0.06055828545328155,False
num_lab_procedures,readmit_binary,ContingencySimilarity,,,,0.025502991464839826,False
num_procedures,num_medications,ContingencySimilarity,,,,0.18084452060455877,False
num_procedures,primary_diagnosis,ContingencySimilarity,,,,0.1437791386261828,False
num_procedures,number_diagnoses,ContingencySimilarity,,,,0.04798056491269184,False
num_procedures,max_glu_serum,ContingencySimilarity,,,,0.04942213250464699,False
num_procedures,A1Cresult,ContingencySimilarity,,,,0.04007046724470312,False
num_procedures,insulin,ContingencySimilarity,,,,0.027600668162209307,False
num_procedures,change,ContingencySimilarity,,,,0.036782110369730746,False
num_procedures,diabetesMed,ContingencySimilarity,,,,0.02723118023945934,False
num_procedures,medicare,ContingencySimilarity,,,,0.0652857316765722,False
num_procedures,medicaid,ContingencySimilarity,,,,0.03393751924044694,False
num_procedures,had_emergency,ContingencySimilarity,,,,0.050194910298033246,False
num_procedures,had_inpatient_days,ContingencySimilarity,,,,0.083851474226349,False
num_procedures,had_outpatient_days,ContingencySimilarity,,,,0.04925726796503005,False
num_procedures,readmit_binary,ContingencySimilarity,,,,0.03470787638946872,False
num_medications,primary_diagnosis,ContingencySimilarity,,,,0.0927738507150693,False
num_medications,number_diagnoses,CorrelationSimilarity,,0.25750330208635047,,,False
num_medications,max_glu_serum,ContingencySimilarity,,,,0.04244599368928052,False
num_medications,A1Cresult,ContingencySimilarity,,,,0.043821063366368616,False
num_medications,insulin,ContingencySimilarity,,,,0.15460420914544482,False
num_medications,change,ContingencySimilarity,,,,0.26193576907761806,False
num_medications,diabetesMed,ContingencySimilarity,,,,0.21071410127933907,False
num_medications,medicare,ContingencySimilarity,,,,0.10155215363807704,False
num_medications,medicaid,ContingencySimilarity,,,,0.03405594398850914,False
num_medications,had_emergency,ContingencySimilarity,,,,0.0730126848882146,False
num_medications,had_inpatient_days,ContingencySimilarity,,,,0.10735738096441497,False
num_medications,had_outpatient_days,ContingencySimilarity,,,,0.08895428408267843,False
num_medications,readmit_binary,ContingencySimilarity,,,,0.053220687530275895,False
primary_diagnosis,number_diagnoses,ContingencySimilarity,,,,0.10089055022309498,False
primary_diagnosis,max_glu_serum,ContingencySimilarity,,,,0.037685156382357345,False
primary_diagnosis,A1Cresult,ContingencySimilarity,,,,0.10571185427570814,False
primary_diagnosis,insulin,ContingencySimilarity,,,,0.10204783043242362,False
primary_diagnosis,change,ContingencySimilarity,,,,0.08964801382708323,False
primary_diagnosis,diabetesMed,ContingencySimilarity,,,,0.07482126987691587,False
primary_diagnosis,medicare,ContingencySimilarity,,,,0.06880163123690124,False
primary_diagnosis,medicaid,ContingencySimilarity,,,,0.043156808904310485,False
primary_diagnosis,had_emergency,ContingencySimilarity,,,,0.06928624215585848,False
primary_diagnosis,had_inpatient_days,ContingencySimilarity,,,,0.08520460247236648,False
primary_diagnosis,had_outpatient_days,ContingencySimilarity,,,,0.028631846895885896,False
primary_diagnosis,readmit_binary,ContingencySimilarity,,,,0.02319408838041921,False
number_diagnoses,max_glu_serum,ContingencySimilarity,,,,0.06015421910696587,False
number_diagnoses,A1Cresult,ContingencySimilarity,,,,0.05731812029577915,False
number_diagnoses,insulin,ContingencySimilarity,,,,0.08191662324596115,False
number_diagnoses,change,ContingencySimilarity,,,,0.06059269635238353,False
number_diagnoses,diabetesMed,ContingencySimilarity,,,,0.047279384450548315,False
number_diagnoses,medicare,ContingencySimilarity,,,,0.16689665538456866,False
number_diagnoses,medicaid,ContingencySimilarity,,,,0.04513126054809416,False
number_diagnoses,had_emergency,ContingencySimilarity,,,,0.12279504648365522,False
number_diagnoses,had_inpatient_days,ContingencySimilarity,,,,0.1376808443322571,False
number_diagnoses,had_outpatient_days,ContingencySimilarity,,,,0.10680307569979877,False
number_diagnoses,readmit_binary,ContingencySimilarity,,,,0.07374935809066512,False
max_glu_serum,A1Cresult,ContingencySimilarity,,,,0.040300568968874864,False
max_glu_serum,insulin,ContingencySimilarity,,,,0.05628934179287161,False
max_glu_serum,change,ContingencySimilarity,,,,0.06969106287195441,False
max_glu_serum,diabetesMed,ContingencySimilarity,,,,0.08077826265373568,False
max_glu_serum,medicare,ContingencySimilarity,,,,0.03931024555690199,False
max_glu_serum,medicaid,ContingencySimilarity,,,,0.035448467759694645,False
max_glu_serum,had_emergency,ContingencySimilarity,,,,0.06911403418063243,False
max_glu_serum,had_inpatient_days,ContingencySimilarity,,,,0.018750804827184376,False
max_glu_serum,had_outpatient_days,ContingencySimilarity,,,,0.0737191228223347,False
max_glu_serum,readmit_binary,ContingencySimilarity,,,,0.01402851031096935,False
A1Cresult,insulin,ContingencySimilarity,,,,0.08321601409279196,False
A1Cresult,change,ContingencySimilarity,,,,0.12452974035750806,False
A1Cresult,diabetesMed,ContingencySimilarity,,,,0.09992344103377482,False
A1Cresult,medicare,ContingencySimilarity,,,,0.0916660629509855,False
A1Cresult,medicaid,ContingencySimilarity,,,,0.023216502873390953,False
A1Cresult,had_emergency,ContingencySimilarity,,,,0.02117012087108197,False
A1Cresult,had_inpatient_days,ContingencySimilarity,,,,0.0738725608859601,False
A1Cresult,had_outpatient_days,ContingencySimilarity,,,,0.04702317038767501,False
A1Cresult,readmit_binary,ContingencySimilarity,,,,0.016893098004923484,False
insulin,change,ContingencySimilarity,0.8578,,,0.6493353423482892,True
insulin,diabetesMed,ContingencySimilarity,0.8602,,,0.5923699627452014,True
insulin,medicare,ContingencySimilarity,,,,0.08520994080820236,False
insulin,medicaid,ContingencySimilarity,,,,0.0985691331354123,False
insulin,had_emergency,ContingencySimilarity,,,,0.08819314720310703,False
insulin,had_inpatient_days,ContingencySimilarity,,,,0.09667944327357239,False
insulin,had_outpatient_days,ContingencySimilarity,,,,0.06333707249769313,False
insulin,readmit_binary,ContingencySimilarity,,,,0.05822799937766704,False
change,diabetesMed,ContingencySimilarity,0.9815,,,0.5073605471743851,True
change,medicare,ContingencySimilarity,,,,0.056282380854519684,False
change,medicaid,ContingencySimilarity,,,,0.032596543970714306,False
change,had_emergency,ContingencySimilarity,,,,0.054488800081906714,False
change,had_inpatient_days,ContingencySimilarity,,,,0.039671305530924926,False
change,had_outpatient_days,ContingencySimilarity,,,,0.03776046131607526,False
change,readmit_binary,ContingencySimilarity,,,,0.03509641743246938,False
diabetesMed,medicare,ContingencySimilarity,,,,0.0280359660058873,False
diabetesMed,medicaid,ContingencySimilarity,,,,0.04931793098641359,False
diabetesMed,had_emergency,ContingencySimilarity,,,,0.03782116767618328,False
diabetesMed,had_inpatient_days,ContingencySimilarity,,,,0.04967985489662501,False
diabetesMed,had_outpatient_days,ContingencySimilarity,,,,0.025668285363545006,False
diabetesMed,readmit_binary,ContingencySimilarity,,,,0.03505973034935167,False
medicare,medicaid,ContingencySimilarity,,,,0.1259381029547804,False
medicare,had_emergency,ContingencySimilarity,,,,0.032536464162178876,False
medicare,had_inpatient_days,ContingencySimilarity,,,,0.05200549223089378,False
medicare,had_outpatient_days,ContingencySimilarity,,,,0.08750855584151113,False
medicare,readmit_binary,ContingencySimilarity,,,,0.01087887829161735,False
medicaid,had_emergency,ContingencySimilarity,,,,0.04632050336680271,False
medicaid,had_inpatient_days,ContingencySimilarity,,,,0.02808887618451249,False
medicaid,had_outpatient_days,ContingencySimilarity,,,,0.005480148748345927,False
medicaid,readmit_binary,ContingencySimilarity,,,,0.004020072131560964,False
had_emergency,had_inpatient_days,ContingencySimilarity,,,,0.1953207716165811,False
had_emergency,had_outpatient_days,ContingencySimilarity,,,,0.17092243717041877,False
had_emergency,readmit_binary,ContingencySimilarity,,,,0.05336687425521931,False
had_inpatient_days,had_outpatient_days,ContingencySimilarity,,,,0.14318879129185583,False
had_inpatient_days,readmit_binary,ContingencySimilarity,,,,0.10608180772630103,False
had_outpatient_days,readmit_binary,ContingencySimilarity,,,,0.02783621136198417,False
