col_a,col_b,metric,score
discharge_disposition_id,admission_source_id,ContingencySimilarity,0.9354666666666667
discharge_disposition_id,num_procedures,ContingencySimilarity,0.9358
age,had_outpatient_days,ContingencySimilarity,0.9365333333333333
num_procedures,diabetesMed,ContingencySimilarity,0.9367333333333333
race,change,ContingencySimilarity,0.9369333333333334
admission_source_id,change,ContingencySimilarity,0.9377333333333333
medicare,had_outpatient_days,ContingencySimilarity,0.9377333333333334
admission_source_id,had_outpatient_days,ContingencySimilarity,0.9393333333333334
age,had_inpatient_days,ContingencySimilarity,0.9407333333333333
age,change,ContingencySimilarity,0.9414
admission_source_id,A1Cresult,ContingencySimilarity,0.9415333333333333
admission_source_id,max_glu_serum,ContingencySimilarity,0.9427333333333333
had_emergency,had_outpatient_days,ContingencySimilarity,0.9428000000000001
A1Cresult,diabetesMed,ContingencySimilarity,0.9438
medicare,had_inpatient_days,ContingencySimilarity,0.9444
discharge_disposition_id,medicare,ContingencySimilarity,0.9446
change,had_outpatient_days,ContingencySimilarity,0.9450000000000001
max_glu_serum,had_outpatient_days,ContingencySimilarity,0.9461333333333334
discharge_disposition_id,had_outpatient_days,ContingencySimilarity,0.9469333333333334
max_glu_serum,medicare,ContingencySimilarity,0.9473333333333334
num_procedures,medicaid,ContingencySimilarity,0.9480666666666667
change,medicare,ContingencySimilarity,0.9486666666666667
admission_source_id,had_emergency,ContingencySimilarity,0.9499333333333333
medicaid,had_outpatient_days,ContingencySimilarity,0.9505333333333333
diabetesMed,had_outpatient_days,ContingencySimilarity,0.9507333333333333
max_glu_serum,A1Cresult,ContingencySimilarity,0.9512666666666667
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.9521999999999999
change,had_emergency,ContingencySimilarity,0.9530666666666666
admission_source_id,medicaid,ContingencySimilarity,0.9531333333333333
age,medicare,ContingencySimilarity,0.9531333333333334
max_glu_serum,change,ContingencySimilarity,0.9532666666666667
medicare,medicaid,ContingencySimilarity,0.9536666666666667
age,admission_source_id,ContingencySimilarity,0.9543333333333333
diabetesMed,medicare,ContingencySimilarity,0.9556
medicare,had_emergency,ContingencySimilarity,0.9557333333333333
change,medicaid,ContingencySimilarity,0.9566666666666667
discharge_disposition_id,change,ContingencySimilarity,0.9576
discharge_disposition_id,A1Cresult,ContingencySimilarity,0.9576666666666667
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.9578666666666666
age,diabetesMed,ContingencySimilarity,0.9603333333333334
A1Cresult,had_emergency,ContingencySimilarity,0.9626666666666667
change,diabetesMed,ContingencySimilarity,0.9640666666666666
