race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.023779408044523147,0.8694662281811283,0.13053377181887174,0.026905829596412557,0.023381807812945538
Asian,142.0,0.0,0.8943661971830986,0.1056338028169014,0.0,0.0
Caucasian,15141.0,0.0243048675780992,0.8739845452744205,0.12601545472557954,0.045454545454545456,0.021640514612924815
Hispanic,411.0,0.0024330900243309003,0.8880778588807786,0.11192214111922141,0.0,0.00273224043715847
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232274,0.0,0.0
