col_a,col_b,metric,score
max_glu_serum,A1Cresult,ContingencySimilarity,0.9530000000000001
admission_source_id,A1Cresult,ContingencySimilarity,0.9538
A1Cresult,change,ContingencySimilarity,0.954
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.9546
A1Cresult,had_emergency,ContingencySimilarity,0.956
age,had_emergency,ContingencySimilarity,0.9562
discharge_disposition_id,had_emergency,ContingencySimilarity,0.957
admission_source_id,change,ContingencySimilarity,0.9572
age,diabetesMed,ContingencySimilarity,0.9578
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.958
admission_source_id,max_glu_serum,ContingencySimilarity,0.9584
age,medicaid,ContingencySimilarity,0.9588
age,change,ContingencySimilarity,0.9591999999999999
age,had_inpatient_days,ContingencySimilarity,0.9592
A1Cresult,diabetesMed,ContingencySimilarity,0.9604
admission_source_id,medicaid,ContingencySimilarity,0.9638
max_glu_serum,had_emergency,ContingencySimilarity,0.9644
discharge_disposition_id,change,ContingencySimilarity,0.9646
A1Cresult,medicaid,ContingencySimilarity,0.9658
admission_source_id,had_emergency,ContingencySimilarity,0.9668
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9684
discharge_disposition_id,medicaid,ContingencySimilarity,0.9684
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.9688
admission_source_id,diabetesMed,ContingencySimilarity,0.9698
max_glu_serum,change,ContingencySimilarity,0.9723999999999999
change,had_emergency,ContingencySimilarity,0.9734
medicaid,had_emergency,ContingencySimilarity,0.9753999999999999
change,medicaid,ContingencySimilarity,0.9753999999999999
diabetesMed,had_emergency,ContingencySimilarity,0.9783999999999999
had_emergency,had_inpatient_days,ContingencySimilarity,0.9784
max_glu_serum,medicaid,ContingencySimilarity,0.9788
max_glu_serum,diabetesMed,ContingencySimilarity,0.979
change,had_inpatient_days,ContingencySimilarity,0.9794
change,diabetesMed,ContingencySimilarity,0.9794
diabetesMed,medicaid,ContingencySimilarity,0.9828
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.983
diabetesMed,had_inpatient_days,ContingencySimilarity,0.984
medicaid,had_inpatient_days,ContingencySimilarity,0.9918
