race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.06703769289147483,0.8343030609663546,0.16569693903364532,0.06278026905829596,0.06757912745936698
Asian,142.0,0.04929577464788732,0.8732394366197183,0.1267605633802817,0.13333333333333333,0.03937007874015748
Caucasian,15141.0,0.0712634568390463,0.8374611980714616,0.1625388019285384,0.09208972845336481,0.06863984531865844
Hispanic,411.0,0.012165450121654502,0.878345498783455,0.12165450121654502,0.0,0.01366120218579235
Other,298.0,0.006711409395973154,0.889261744966443,0.11073825503355705,0.030303030303030304,0.0037735849056603774
Unknown,409.0,0.019559902200488997,0.8924205378973105,0.10757946210268948,0.02631578947368421,0.018867924528301886
