col_a,col_b,metric,score
A1Cresult,readmit_binary,ContingencySimilarity,0.9793999999999999
admission_source_id,diabetesMed,ContingencySimilarity,0.9796
A1Cresult,diabetesMed,ContingencySimilarity,0.9802
A1Cresult,had_emergency,ContingencySimilarity,0.9806
age,admission_source_id,ContingencySimilarity,0.9808
admission_source_id,readmit_binary,ContingencySimilarity,0.9808
admission_source_id,change,ContingencySimilarity,0.9808
age,max_glu_serum,ContingencySimilarity,0.981
change,had_emergency,ContingencySimilarity,0.981
diabetesMed,readmit_binary,ContingencySimilarity,0.982
max_glu_serum,diabetesMed,ContingencySimilarity,0.9832
age,diabetesMed,ContingencySimilarity,0.9835999999999999
discharge_disposition_id,readmit_binary,ContingencySimilarity,0.9836
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.984
gender,change,ContingencySimilarity,0.9846
discharge_disposition_id,change,ContingencySimilarity,0.9846
discharge_disposition_id,medicaid,ContingencySimilarity,0.9864
A1Cresult,medicaid,ContingencySimilarity,0.9864
gender,A1Cresult,ContingencySimilarity,0.9872
diabetesMed,medicaid,ContingencySimilarity,0.9878
max_glu_serum,medicaid,ContingencySimilarity,0.988
gender,max_glu_serum,ContingencySimilarity,0.9882
age,had_emergency,ContingencySimilarity,0.989
max_glu_serum,change,ContingencySimilarity,0.991
diabetesMed,had_emergency,ContingencySimilarity,0.9916
age,medicaid,ContingencySimilarity,0.992
age,readmit_binary,ContingencySimilarity,0.992
medicaid,had_emergency,ContingencySimilarity,0.9924
age,change,ContingencySimilarity,0.9924000000000001
max_glu_serum,readmit_binary,ContingencySimilarity,0.9926
max_glu_serum,had_emergency,ContingencySimilarity,0.9926
gender,medicaid,ContingencySimilarity,0.9932
gender,readmit_binary,ContingencySimilarity,0.9942000000000001
had_emergency,readmit_binary,ContingencySimilarity,0.9944
gender,had_emergency,ContingencySimilarity,0.9944000000000001
change,readmit_binary,ContingencySimilarity,0.9948
change,medicaid,ContingencySimilarity,0.9954
medicaid,readmit_binary,ContingencySimilarity,0.9962
