race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.005312420946116873,0.8823678219074121,0.11763217809258791,0.002242152466367713,0.00570287995437696
Asian,142.0,0.0,0.8943661971830986,0.1056338028169014,0.0,0.0
Caucasian,15141.0,0.031041542830724522,0.8639455782312925,0.1360544217687075,0.030696576151121605,0.031085000371830148
Hispanic,411.0,0.009732360097323601,0.8807785888077859,0.1192214111922141,0.0,0.01092896174863388
Other,298.0,0.010067114093959731,0.8859060402684564,0.11409395973154363,0.030303030303030304,0.007547169811320755
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232274,0.0,0.0
